id,transaction_date,amount,created_at
20003,2022-05-19,3773.28,2021-11-09
20004,2022-02-05,2983.82,2021-06-26
20005,2023-09-11,3874.78,2021-11-15
20006,2023-09-23,1297.40,2023-08-12
20007,2023-10-22,1968.31,2023-04-08
20008,2023-11-15,3785.88,2023-06-05
20009,2022-05-05,4141.20,2023-07-13
20010,2022-12-26,4993.09,2023-06-02
20011,2022-04-05,2896.04,2023-11-23
20012,2022-06-13,2131.97,2023-09-10
20013,2022-10-08,854.35,2023-09-06
20014,2022-10-22,1735.45,2023-02-28
20015,2023-05-26,3731.11,2021-02-05
20016,2021-08-27,4987.28,2022-05-22
20017,2023-01-04,-154.91,2022-11-25
20018,2021-05-26,1866.32,2023-10-04
20019,2021-08-31,4361.68,2023-06-03
20020,2021-10-04,-130.09,2021-07-31
20021,2021-12-28,-181.72,2022-11-25
20022,2023-01-16,1450.68,2021-08-21
20023,2021-02-16,333.85,2021-08-13
20024,2022-02-01,-405.00,2023-11-02
20025,2023-11-03,4163.31,2022-11-29
20026,2021-08-26,4334.63,2023-06-25
20027,2021-06-11,2800.70,2022-12-09
20028,2023-09-25,2307.02,2021-11-23
20029,2023-06-25,203.81,2023-06-21
20030,2023-07-01,-250.36,2022-06-15
20031,2022-01-06,2929.65,2022-12-24
20032,2023-05-10,625.29,2021-10-20
20033,2023-12-04,3968.33,2021-05-07
20034,2022-03-22,-13.14,2022-10-13
20035,2021-07-29,1828.26,2021-02-14
20036,2023-05-07,199.39,2022-01-13
20037,2021-04-09,4057.36,2023-06-25
20038,2022-12-23,4524.37,2023-03-06
20039,2021-07-24,-811.78,2022-10-17
20040,2023-10-05,1975.18,2022-09-28
20041,2021-02-09,4851.74,2021-08-24
20042,2023-06-17,565.04,2023-11-21
20043,2021-11-11,3328.53,2023-08-09
20044,2022-07-12,3285.24,2021-10-09
20045,2022-03-10,309.20,2021-05-03
20046,2021-12-16,-990.91,2022-11-30
20047,2022-08-30,2017.60,2023-06-18
20048,2022-09-10,2303.93,2023-08-27
20049,2023-03-27,3008.73,2023-02-10
20050,2023-08-11,3973.27,2021-01-28
20051,2021-03-29,-25.84,2023-03-26
20052,2022-02-11,2255.23,2023-02-05
20053,2023-12-19,3549.84,2022-07-16
20054,2023-01-07,4904.92,2022-07-30
20055,2023-10-21,4229.73,2022-11-26
20056,2021-04-18,4731.04,2021-05-27
20057,2021-11-08,-689.07,2021-04-14
20058,2021-06-20,3648.64,2022-12-10
20059,2023-12-27,664.86,2023-12-01
20060,2021-04-24,4507.51,2023-09-25
20061,2022-08-27,300.30,2021-11-08
20062,2023-10-12,-389.27,2022-10-04
20063,2022-08-21,2496.44,2022-10-08
20064,2021-03-31,4283.73,2022-04-10
20065,2021-07-09,1813.98,2023-06-06
20066,2023-06-24,2657.69,2021-08-18
20067,2023-03-09,2407.02,2023-12-16
20068,2021-03-20,2790.10,2023-04-29
20069,2022-03-17,4514.11,2023-01-19
20070,2021-03-25,120.64,2021-10-25
20071,2023-10-17,-564.74,2022-07-30
20072,2023-12-07,1932.90,2021-10-14
20073,2022-04-21,3561.78,2023-07-31
20074,2023-03-26,912.00,2021-05-11
20075,2022-10-31,622.91,2022-01-02
20076,2023-11-13,2542.18,2022-09-18
20077,2023-09-21,-845.11,2023-03-17
20078,2023-11-10,1658.58,2022-05-28
20079,2021-06-07,2733.68,2022-03-12
20080,2023-03-18,-141.84,2021-08-29
20081,2021-11-14,-370.06,2023-03-05
20082,2021-11-04,3857.97,2023-08-11
20083,2022-11-17,4364.14,2022-01-31
20084,2021-07-05,-406.03,2023-05-06
20085,2023-08-14,-45.53,2021-09-28
20086,2022-11-28,1886.88,2021-04-02
20087,2021-12-24,1589.87,2021-12-17
20088,2022-03-14,1532.59,2023-08-23
20089,2022-07-29,-286.47,2022-01-18
20090,2023-10-31,4371.23,2022-10-16
20091,2023-03-28,1362.70,2022-02-27
20092,2021-10-06,4382.75,2021-08-28
20093,2021-06-02,3664.57,2021-10-09
20094,2022-12-28,-923.97,2023-08-31
20095,2022-08-02,421.62,2021-11-21
20096,2023-12-29,3230.19,2021-03-20
20097,2023-08-03,951.22,2022-01-25
20098,2022-11-15,4695.35,2022-04-30
20099,2023-07-20,3644.54,2022-11-10
20100,2022-02-04,814.13,2023-07-21
20101,2022-02-24,2635.69,2021-11-24
20102,2023-08-15,2242.83,2021-03-28
20103,2021-04-27,1953.99,2021-12-24
20104,2022-12-29,3971.66,2021-01-23
20105,2022-05-17,4996.78,2021-08-26
20106,2022-10-29,1126.12,2022-11-23
20107,2021-12-21,-591.80,2021-06-14
20108,2023-11-03,-383.40,2021-08-01
20109,2022-10-14,424.89,2021-09-04
20110,2023-06-21,1066.42,2021-05-26
20111,2023-05-19,2311.93,2023-02-20
20112,2021-04-30,1634.86,2023-05-09
20113,2021-08-09,-289.97,2022-04-10
20114,2021-02-16,1354.20,2022-03-21
20115,2022-11-17,54.70,2021-06-25
20116,2023-07-11,4912.98,2021-06-25
20117,2021-01-10,4858.34,2021-12-10
20118,2023-03-22,1714.34,2023-11-05
20119,2022-11-04,-76.62,2023-12-16
20120,2023-02-06,1830.04,2022-06-26
20121,2022-10-14,4427.65,2022-10-24
20122,2021-05-15,717.28,2022-02-11
20123,2021-11-05,4907.38,2021-03-16
20124,2023-01-16,2231.28,2023-11-18
20125,2023-06-16,4725.34,2022-01-30
20126,2021-11-05,822.42,2023-10-09
20127,2022-07-21,3714.79,2021-02-13
20128,2023-04-10,3211.47,2023-09-14
20129,2021-09-06,2754.53,2022-05-20
20130,2022-12-20,845.52,2023-07-02
20131,2023-09-07,2648.90,2021-01-11
20132,2021-11-10,3007.33,2022-04-12
20133,2021-07-14,3938.54,2023-05-16
20134,2022-06-24,371.10,2022-08-16
20135,2021-05-05,3456.89,2023-01-13
20136,2021-04-16,1437.01,2022-06-14
20137,2022-09-14,3951.90,2023-06-22
20138,2022-07-29,4799.82,2022-01-04
20139,2022-08-09,4354.26,2023-08-01
20140,2023-07-27,4288.61,2023-11-09
20141,2021-02-11,1823.74,2022-01-04
20142,2021-08-23,1391.92,2021-09-02
20143,2021-12-04,2117.38,2021-06-21
20144,2023-08-30,1953.19,2022-09-14
20145,2023-02-02,-635.01,2021-07-07
20146,2021-10-16,1804.98,2023-03-19
20147,2022-09-08,4044.41,2023-06-02
20148,2023-06-10,4775.41,2022-02-28
20149,2023-02-17,-222.58,2022-08-20
20150,2021-05-12,1293.17,2023-01-08
20151,2023-09-07,4688.15,2023-10-06
20152,2022-02-21,3419.23,2022-05-22
20153,2023-01-10,4241.04,2021-01-12
20154,2022-11-02,4824.41,2021-09-15
20155,2023-08-27,-246.96,2021-06-11
20156,2023-12-03,946.24,2021-09-05
20157,2023-09-03,122.59,2023-02-26
20158,2021-05-08,3031.95,2022-05-25
20159,2022-06-29,2652.10,2021-07-12
20160,2021-07-16,3622.13,2023-01-10
20161,2022-09-09,-977.90,2022-11-16
20162,2021-07-23,-129.29,2022-09-13
20163,2022-05-25,20.77,2022-10-13
20164,2021-12-08,1192.61,2022-11-16
20165,2023-05-11,684.81,2021-02-24
20166,2023-05-07,137.87,2022-01-09
20167,2022-07-15,2368.66,2022-11-24
20168,2021-05-13,524.99,2022-03-27
20169,2022-10-22,2111.50,2021-03-17
20170,2021-02-25,538.48,2023-03-25
20171,2023-02-25,3384.63,2022-08-26
20172,2021-04-04,3153.15,2022-03-05
20173,2022-04-04,3528.58,2021-07-12
20174,2022-12-12,703.51,2023-07-13
20175,2023-08-15,3791.53,2021-02-02
20176,2023-07-29,4906.20,2023-02-10
20177,2023-12-29,3034.51,2023-02-25
20178,2022-10-04,-631.56,2021-12-21
20179,2022-11-29,4388.41,2021-03-18
20180,2022-03-18,3739.46,2023-04-19
20181,2023-09-29,118.51,2022-04-20
20182,2021-03-21,-96.32,2021-11-30
