id,transaction_date,amount,created_at
30004,2021-08-14,-790.13,2022-08-13
30005,2023-01-14,2220.11,2023-01-24
30006,2021-02-24,2508.45,2023-08-24
30007,2022-04-11,-739.43,2022-11-12
30008,2023-07-26,4804.17,2023-05-20
30009,2021-05-07,-217.30,2023-02-07
30010,2023-10-10,2867.03,2021-04-09
30011,2022-01-28,1690.39,2022-11-04
30012,2023-10-15,2094.84,2023-11-14
30013,2023-10-29,-251.82,2022-06-26
30014,2021-03-09,-647.63,2023-03-21
30015,2022-03-20,137.95,2023-01-28
30016,2023-09-06,3313.67,2023-05-15
30017,2021-05-06,4296.83,2021-12-17
30018,2022-08-23,578.57,2023-09-18
30019,2023-09-16,-392.33,2023-08-24
30020,2023-01-29,4178.96,2021-03-26
30021,2023-01-21,3279.59,2022-11-23
30022,2023-01-30,1143.43,2021-02-16
30023,2021-12-28,695.41,2023-02-14
30024,2021-11-14,-398.38,2022-02-13
30025,2023-08-04,-892.22,2023-07-10
30026,2023-09-25,907.95,2023-01-10
30027,2023-06-18,599.24,2022-11-09
30028,2022-12-29,4612.41,2023-09-19
30029,2023-02-16,577.53,2022-05-25
30030,2022-01-05,3215.39,2023-11-23
30031,2022-08-25,3374.21,2022-03-02
30032,2022-01-21,-985.70,2023-10-14
30033,2021-03-21,2906.87,2023-05-12
30034,2023-09-08,1970.12,2021-06-09
30035,2021-04-13,2001.71,2022-09-26
30036,2023-09-25,1710.66,2021-03-09
30037,2022-11-09,1277.20,2023-09-02
30038,2021-12-14,2493.35,2021-01-18
30039,2021-06-29,-581.24,2022-04-05
30040,2021-07-07,2470.12,2022-05-28
30041,2023-12-26,1361.98,2022-08-26
30042,2022-03-11,4541.59,2021-08-05
30043,2021-10-07,2706.95,2021-06-26
30044,2023-01-28,3493.03,2022-11-04
30045,2023-06-24,1127.89,2023-03-25
30046,2022-06-20,3226.50,2023-05-03
30047,2023-03-19,4025.55,2023-09-09
30048,2022-07-21,596.53,2022-12-12
30049,2022-08-18,3688.08,2022-04-30
30050,2022-08-30,4426.65,2022-07-13
30051,2023-12-10,1297.83,2023-12-09
30052,2021-01-29,3996.60,2022-07-12
30053,2022-04-01,2271.48,2022-08-04
30054,2023-03-03,1508.96,2023-11-22
30055,2022-03-16,3308.73,2022-11-17
30056,2022-08-07,4287.56,2022-07-27
30057,2021-10-16,4047.83,2022-02-09
30058,2021-08-15,2565.95,2021-11-02
30059,2023-04-15,3903.89,2021-03-06
30060,2021-12-08,597.31,2023-11-13
30061,2021-02-21,2332.04,2023-03-16
30062,2022-06-12,3764.06,2022-10-05
30063,2021-03-19,2117.53,2022-08-20
30064,2023-10-05,1751.26,2021-01-10
30065,2022-03-27,3640.37,2022-12-29
30066,2022-09-27,-695.06,2022-11-03
30067,2022-05-24,4612.05,2023-07-16
30068,2021-03-14,4179.40,2021-02-18
30069,2021-10-23,4064.12,2023-06-01
30070,2023-01-05,3297.50,2022-06-16
30071,2023-04-10,2620.22,2021-12-20
30072,2022-10-23,2546.04,2022-11-01
30073,2023-02-28,379.03,2023-05-21
30074,2023-10-13,3787.24,2022-01-06
30075,2021-05-09,2946.93,2021-10-05
30076,2021-06-08,551.77,2023-02-05
30077,2022-04-21,4090.69,2021-03-29
30078,2021-03-20,3966.96,2022-08-16
30079,2023-09-13,-312.23,2021-06-11
30080,2021-01-05,709.00,2021-07-02
30081,2022-10-27,3074.72,2023-04-19
30082,2021-12-17,2016.88,2021-07-08
30083,2022-08-12,1842.99,2021-01-28
30084,2023-09-09,-396.70,2021-09-12
30085,2021-12-28,2687.57,2021-01-13
30086,2022-03-06,1786.29,2021-06-26
30087,2023-07-06,1279.24,2023-06-08
30088,2022-02-04,600.61,2023-09-02
30089,2022-12-06,2798.75,2022-08-09
30090,2021-11-14,2080.45,2022-10-08
30091,2021-02-02,2464.57,2022-05-02
30092,2022-10-08,3811.37,2022-05-17
30093,2021-12-25,2344.17,2023-02-21
30094,2021-10-01,3594.24,2021-03-08
30095,2023-07-14,2481.70,2022-09-04
30096,2022-09-10,1844.30,2022-09-28
30097,2023-04-12,2512.28,2021-07-22
30098,2023-04-06,3137.20,2023-10-26
30099,2021-08-09,2567.06,2023-12-26
30100,2022-03-06,1339.03,2022-12-11
30101,2021-11-24,1421.33,2022-03-30
30102,2021-06-26,3156.14,2022-05-28
30103,2022-06-13,1359.90,2021-06-30
30104,2021-08-09,2196.81,2022-09-27
30105,2022-01-13,-489.75,2022-05-01
30106,2021-08-06,115.19,2023-02-04
30107,2022-12-05,4291.74,2023-11-06
30108,2022-06-26,3812.23,2021-10-13
30109,2021-10-29,4581.49,2021-02-08
30110,2021-12-03,1997.19,2022-04-16
30111,2022-02-15,-142.51,2023-06-07
30112,2021-08-02,2365.82,2021-03-02
30113,2023-08-16,2718.27,2021-12-29
30114,2021-04-09,2497.20,2023-04-24
30115,2023-04-23,2534.71,2021-08-13
30116,2021-10-21,2818.26,2021-11-29
30117,2023-05-17,-594.69,2023-04-22
30118,2022-09-07,3374.42,2023-11-06
30119,2022-01-31,1992.54,2022-12-19
30120,2023-03-25,-925.24,2022-03-23
30121,2023-08-10,1692.80,2023-04-14
30122,2022-06-15,3895.88,2023-06-07
30123,2022-05-19,1892.93,2021-08-02
30124,2023-10-16,4507.27,2023-03-03
30125,2023-02-22,-289.78,2021-12-12
30126,2023-07-13,-184.68,2022-01-30
30127,2021-12-28,-233.83,2022-07-04
30128,2022-02-02,-442.37,2022-04-07
30129,2021-10-22,4465.00,2023-06-13
30130,2022-06-05,3885.60,2023-08-26
30131,2022-09-27,4786.24,2022-04-09
30132,2021-10-25,1931.43,2023-03-12
30133,2023-07-17,4839.72,2022-10-14
30134,2021-12-29,2559.04,2022-05-21
30135,2022-01-05,1979.04,2022-10-22
30136,2023-12-19,480.51,2022-03-11
30137,2021-10-29,1029.52,2023-02-07
30138,2023-07-14,210.97,2022-02-16
30139,2022-10-15,159.34,2021-06-20
30140,2021-03-14,1298.18,2022-04-03
30141,2023-10-24,-448.47,2023-10-24
30142,2021-11-21,1715.70,2021-01-04
30143,2023-06-17,3568.86,2023-06-14
30144,2023-04-15,3596.26,2023-11-09
30145,2022-03-10,1544.41,2023-08-14
30146,2023-11-29,4684.78,2023-01-07
30147,2021-03-15,2630.47,2021-11-28
30148,2022-02-01,3227.39,2021-03-17
30149,2021-03-22,2363.16,2021-11-28
30150,2021-08-17,2.99,2023-08-22
30151,2023-11-15,1633.03,2021-10-15
30152,2022-01-22,3799.45,2021-05-28
30153,2022-09-08,2725.41,2021-03-17
30154,2021-03-13,4514.62,2023-05-09
30155,2023-08-30,1369.10,2023-07-14
30156,2021-09-08,2997.12,2022-08-15
30157,2022-10-23,519.86,2023-03-20
30158,2023-01-12,-174.86,2021-10-22
30159,2021-07-07,1186.06,2021-04-29
30160,2023-09-02,-189.79,2023-06-02
30161,2023-03-16,3180.09,2023-04-24
30162,2022-05-31,3366.03,2022-11-15
30163,2022-12-23,2944.61,2023-03-17
30164,2021-07-09,4801.49,2023-11-04
30165,2023-04-12,4632.02,2022-02-10
