id,transaction_date,amount,created_at
40005,2021-08-14,3881.76,2021-02-02
40006,2021-08-13,1260.84,2021-11-28
40007,2022-03-15,2013.14,2023-05-04
40008,2023-03-16,2983.10,2021-08-14
40009,2021-01-19,4338.98,2021-09-24
40010,2023-01-13,1651.33,2022-06-08
40011,2023-07-13,850.57,2023-05-23
40012,2022-04-27,-25.96,2023-11-17
40013,2021-02-01,-283.27,2023-10-17
40014,2023-07-12,3676.11,2023-09-17
40015,2021-09-01,6.79,2021-01-20
40016,2023-08-12,4762.98,2023-09-25
40017,2023-09-22,1026.10,2023-06-29
40018,2021-09-29,3269.03,2023-09-18
40019,2021-06-13,2327.56,2021-04-12
40020,2021-05-09,2987.45,2022-03-27
40021,2023-02-26,3282.04,2022-06-14
40022,2022-11-30,2969.00,2022-09-06
40023,2022-07-20,3202.69,2021-02-10
40024,2023-07-19,4948.18,2022-12-04
40025,2021-09-24,1510.05,2023-06-17
40026,2023-10-29,1875.61,2022-01-26
40027,2023-04-22,4120.62,2023-09-13
40028,2023-10-20,563.54,2022-08-18
40029,2023-12-21,2071.77,2021-05-16
40030,2023-12-29,3151.86,2023-07-17
40031,2021-12-15,1143.55,2022-02-01
40032,2021-10-24,1403.94,2022-12-12
40033,2023-01-12,2206.44,2022-04-10
40034,2022-03-14,-977.69,2023-03-24
40035,2022-07-23,2952.60,2022-03-07
40036,2023-07-03,-412.57,2021-09-18
40037,2021-01-17,3986.20,2022-12-12
40038,2022-05-10,1977.61,2021-06-01
40039,2022-09-23,2818.15,2023-04-03
40040,2022-01-24,-126.43,2021-08-13
40041,2023-10-02,4464.92,2021-01-31
40042,2022-08-10,4650.17,2022-06-16
40043,2022-01-06,2790.19,2023-09-17
40044,2023-11-12,-649.42,2023-05-16
40045,2022-08-11,929.99,2021-08-13
40046,2021-06-13,-834.31,2023-10-19
40047,2023-12-14,-375.56,2023-01-25
40048,2023-12-26,1173.34,2022-05-24
40049,2023-08-17,4993.99,2023-03-29
40050,2022-08-10,2484.19,2021-02-25
40051,2022-02-28,2814.61,2021-04-03
40052,2023-09-05,1112.76,2021-03-14
40053,2021-02-07,1133.04,2021-01-30
40054,2022-05-30,-683.92,2022-04-19
40055,2023-09-29,1104.24,2023-07-19
40056,2021-05-13,1245.84,2021-01-12
40057,2022-05-19,4767.66,2023-12-20
40058,2023-08-19,2037.58,2022-05-28
40059,2022-11-21,1394.56,2023-04-10
40060,2021-05-22,858.51,2023-12-09
40061,2021-05-07,622.81,2021-03-24
40062,2022-12-01,-660.48,2022-06-14
40063,2023-04-02,130.24,2021-01-04
40064,2023-06-29,2556.66,2021-01-07
40065,2021-12-28,4591.77,2021-03-14
40066,2021-08-31,4004.32,2022-10-19
40067,2022-11-30,2568.73,2021-11-05
40068,2021-11-05,3419.46,2021-04-01
40069,2023-06-25,1448.82,2023-07-12
40070,2022-01-24,1685.45,2021-11-23
40071,2021-12-13,-273.88,2023-03-02
40072,2022-05-26,1335.37,2023-06-03
40073,2021-07-05,3958.05,2023-06-01
40074,2021-07-19,3503.55,2023-08-17
40075,2023-05-01,987.62,2022-03-16
40076,2022-02-05,1512.30,2022-04-26
40077,2023-09-10,2360.77,2022-08-16
40078,2022-08-04,-686.90,2021-07-23
40079,2022-02-01,2887.07,2023-12-03
40080,2022-01-24,-759.95,2022-12-06
40081,2023-05-06,97.34,2023-10-26
40082,2022-08-28,212.24,2023-06-09
40083,2022-09-03,4519.50,2021-05-24
40084,2021-08-10,718.89,2022-03-08
40085,2021-01-14,3945.44,2022-07-30
40086,2023-12-28,2150.97,2022-01-20
40087,2022-06-02,-147.26,2022-12-09
40088,2021-04-25,2602.11,2021-10-13
40089,2021-05-06,3007.63,2021-01-19
40090,2023-08-05,3044.89,2021-07-04
40091,2022-06-16,3833.92,2021-08-12
40092,2022-06-11,4587.19,2022-07-02
40093,2021-10-13,2793.45,2022-03-27
40094,2021-10-19,4232.66,2023-06-10
40095,2022-02-22,1289.08,2022-04-25
40096,2022-01-11,2627.65,2023-03-25
40097,2021-06-12,3144.77,2023-01-19
40098,2023-03-31,3186.21,2022-03-22
40099,2023-09-06,4389.74,2021-04-11
40100,2022-10-01,991.01,2023-02-24
40101,2022-01-18,1458.90,2023-10-06
40102,2023-09-07,2908.99,2021-03-20
40103,2022-01-31,-340.76,2023-03-29
40104,2022-04-12,4766.69,2022-08-17
40105,2022-10-31,-544.81,2022-02-04
40106,2022-07-12,4424.45,2023-05-13
40107,2021-12-11,1216.51,2022-02-20
40108,2023-08-22,2618.37,2021-03-15
40109,2023-10-03,-506.33,2021-09-26
40110,2023-02-09,3095.97,2023-11-13
40111,2022-03-26,2823.83,2023-09-14
40112,2022-02-17,4948.03,2023-04-13
40113,2023-10-08,3280.15,2021-02-18
40114,2021-08-24,3905.14,2023-01-20
40115,2022-10-31,3450.32,2021-05-30
40116,2022-04-07,4949.47,2021-04-21
40117,2021-12-05,-765.95,2021-06-17
40118,2021-01-22,3715.93,2023-10-22
40119,2023-03-23,1930.01,2022-09-25
40120,2022-08-21,1466.37,2021-06-20
40121,2022-11-01,3574.33,2022-04-16
40122,2022-04-04,3760.14,2023-08-12
40123,2021-06-10,383.36,2022-11-03
40124,2023-10-06,4324.96,2023-03-24
40125,2022-01-09,222.94,2023-09-20
40126,2021-07-24,2455.50,2023-04-28
40127,2022-04-28,-739.12,2021-04-03
40128,2021-06-15,3687.90,2021-12-26
40129,2022-11-11,2339.01,2021-12-03
40130,2023-09-15,4473.61,2022-08-06
40131,2023-10-14,1303.80,2022-09-02
40132,2021-05-14,352.93,2021-08-30
40133,2022-04-29,351.94,2023-07-25
40134,2022-01-28,1907.44,2022-08-15
40135,2023-06-19,764.46,2023-01-14
40136,2022-08-31,1102.70,2022-12-30
40137,2022-01-20,3651.87,2023-07-07
40138,2022-04-22,229.98,2021-03-20
40139,2021-07-13,1566.83,2023-01-28
40140,2022-09-04,2923.07,2021-03-31
40141,2023-11-12,2793.25,2023-07-10
40142,2021-04-20,1349.67,2021-10-01
40143,2023-05-30,1175.11,2023-06-02
40144,2021-11-06,1874.27,2023-11-01
40145,2023-07-06,-241.84,2021-07-30
40146,2023-01-16,2811.16,2022-07-26
40147,2023-03-29,600.35,2023-10-27
40148,2021-12-26,3325.49,2022-06-16
40149,2021-12-18,1860.42,2021-12-16
40150,2022-04-02,2413.64,2022-06-29
40151,2022-03-08,-193.29,2023-11-28
40152,2023-10-30,2715.88,2021-02-18
40153,2022-06-23,2029.55,2022-04-06
40154,2022-07-03,2187.76,2021-05-17
40155,2021-11-07,-360.66,2023-09-14
40156,2023-01-19,683.65,2021-10-27
40157,2022-05-23,645.70,2022-06-19
40158,2023-03-13,4243.98,2023-12-06
