id,transaction_date,amount,created_at
1,2023-07-17,-195.93,2022-07-09
2,2022-03-31,471.53,2022-05-28
3,2022-09-18,1260.03,2022-03-19
4,2022-06-11,1739.45,2022-07-24
5,2022-08-20,484.02,2021-11-25
6,2021-05-26,4050.73,2023-10-25
7,2023-12-14,1189.99,2022-12-14
8,2022-11-19,2264.62,2023-02-20
9,2022-01-30,1535.24,2021-10-02
10,2021-06-08,4137.41,2022-10-09
11,2023-06-04,4166.09,2022-05-22
12,2023-02-16,1196.46,2021-11-04
13,2022-11-29,4309.14,2022-07-24
14,2021-11-25,3589.68,2023-11-11
15,2022-03-13,2919.08,2021-04-03
16,2022-04-04,-404.18,2021-09-04
17,2022-01-26,1806.41,2023-01-19
18,2023-11-01,1290.93,2021-03-23
19,2021-10-08,211.08,2021-04-08
20,2022-05-15,3461.04,2021-12-25
21,2023-09-12,4589.45,2021-10-23
22,2023-10-16,2533.78,2023-01-15
23,2021-07-11,3243.75,2021-08-24
24,2021-10-28,4425.70,2022-11-03
25,2021-11-10,1388.64,2021-08-26
26,2023-10-21,1824.11,2021-06-06
27,2023-12-02,2688.94,2021-01-21
28,2022-04-10,4047.23,2021-03-02
29,2022-11-10,2775.68,2021-08-08
30,2023-08-20,273.83,2023-05-30
31,2021-10-30,474.50,2023-01-10
32,2021-10-22,806.04,2022-03-08
33,2021-04-09,1940.35,2023-02-10
34,2022-06-18,2046.43,2021-09-06
35,2022-03-11,864.89,2021-09-05
36,2021-04-14,4312.55,2022-03-25
37,2022-01-25,2481.47,2023-10-26
38,2023-05-13,4738.09,2022-06-20
39,2021-06-05,2205.66,2021-07-17
40,2023-12-26,951.62,2021-10-08
41,2021-06-24,-794.33,2022-03-16
42,2023-08-21,2050.89,2022-09-21
43,2023-08-21,242.65,2022-08-02
44,2023-12-28,4441.84,2021-03-16
45,2023-05-26,-205.22,2021-05-08
46,2022-08-02,-950.45,2023-12-02
47,2021-11-03,3220.40,2022-02-07
48,2022-12-11,4717.64,2023-05-10
49,2021-11-13,760.59,2022-02-11
50,2022-05-30,4444.74,2023-03-26
51,2023-04-20,990.61,2021-09-12
52,2021-06-01,527.54,2023-01-05
53,2022-09-21,-413.31,2022-02-12
54,2021-11-18,2782.15,2023-10-18
55,2021-09-28,-327.52,2023-10-09
56,2023-10-19,4238.65,2023-08-30
